GENERAL STORE 6                                             ,Phillips 66                   ,"1003 S SENECA ST, Wichita, KS",
QUIKTRIP #345                                               ,QuikTrip                      ,"3945 S MERIDIAN AVE, Wichita, KS",$2.949
CASEYS GENERAL STORE #3312 (DISCOUNT AVAILABLE)             ,Caseys                        ,"3540 S MERIDIAN AVE, Wichita, KS",$2.949
DILLONS #9065 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"3211 S SENECA ST, Wichita                                 , KS",$2.949
QUIKTRIP #320                                               ,QuikTrip                      ,"1021 W 31ST ST S, Wichita, KS",$2.949
DILLONS #9033 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"4747 S BROADWAY ST, Wichita                                 , KS",$2.949
QUIKTRIP #384                                               ,QuikTrip                      ,"2510 W PAWNEE ST, Wichita, KS",$2.949
JUMP START                                                  ,Jump Start                    ,"1131 E 47TH ST S, Wichita, KS",$2.949
CIRCLE K #2721642                                           ,Circle K                      ,"2356 S SENECA ST, Wichita, KS",$2.959
KWIK SHOP #714 (DISCOUNT AVAILABLE)                         ,Kwik Shop                     ,"4811 S SENECA ST, Wichita, KS",$2.979
FLYING EAGLE                                                ,Conoco                        ,"3405 S WEST ST, Wichita, KS",$2.999
B  AND H FAST TRIPS                                         ,Unbranded                     ,"2796 S SENECA ST, Wichita                                 , KS",
PPS                                                         ,Unbranded                     ,"4003 S BROADWAY ST, Wichita                                 , KS",
QUICK GAS                                                   ,Unbranded                     ,"5562 S SENECA ST, Wichita                                 , KS",
DISCOUNT CIGARETTES AND GAS                                 ,Unbranded                     ,"2160 S BROADWAY ST, Wichita                                 , KS",
COSTCO #1200                                                ,Costco                        ,"9700 E KELLOGG AVE, Wichita                                 , KS",$2.729
DILLONS #9020 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"7707 E CENTRAL AVE, Wichita                                 , KS",$2.949
QUIKTRIP #353                                               ,QuikTrip                      ,"110 S ROCK RD, Wichita, KS",$2.949
QUIKTRIP #383                                               ,QuikTrip                      ,"11223 E CENTRAL AVE, Wichita, KS",$2.949
CIRCLE K #2721630                                           ,Circle K                      ,"2190 N ROCK RD, Wichita, KS",$2.959
KWIK SHOP #0758                                             ,Kwik Shop                     ,"6327 E 13TH ST N, Wichita, KS",$2.959
CENTRAL VALERO                                              ,Valero                        ,"12728 E CENTRAL AVE, Wichita                                 , KS",$2.979
KWIK SHOP #749 (DISCOUNT AVAILABLE)                         ,Kwik Shop                     ,"2142 N WEBB RD, Wichita, KS",$2.999
FLYING EAGLE 2                                              ,Sinclair                      ,"6330 E 21ST ST N, Wichita, KS",$2.979
GOT GAS                                                     ,Unbranded                     ,"353 S ARMOUR ST, Wichita                                 , KS",
FOOD MART 205                                               ,Valero                        ,"7101 E LINCOLN ST, Wichita                                 , KS",
D AND T STATION                                             ,Unbranded                     ,"895 S WOODLAWN ST, Wichita                                 , KS",$2.899
QUIKTRIP #389                                               ,QuikTrip                      ,"4730 E CENTRAL AVE, Wichita, KS",$2.949
DILLONS #9020 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"7707 E CENTRAL AVE, Wichita                                 , KS",$2.949
QUIKTRIP #353                                               ,QuikTrip                      ,"110 S ROCK RD, Wichita, KS",$2.949
QUIKTRIP #369                                               ,QuikTrip                      ,"625 S HILLSIDE ST, Wichita, KS",$2.949
KWIK SHOP #0758                                             ,Kwik Shop                     ,"6327 E 13TH ST N, Wichita, KS",$2.959
CIRCLE K #2721630                                           ,Circle K                      ,"2190 N ROCK RD, Wichita, KS",$2.959
CIRCLE K #1643                                              ,Circle K                      ,"1350 N OLIVER ST, Wichita, KS",$2.969
KWIK SHOP #746                                              ,Kwik Shop                     ,"4802 E 21ST ST N, Wichita, KS",$2.969
KWIK SHOP                                                   ,Kwik Shop                     ,"514 S OLIVER ST, Wichita, KS",$2.999
WITCHITA 21ST ST VALERO                                     ,Valero                        ,"2008 E 21ST ST N, Wichita                                 , KS",$2.999
FLYING EAGLE 2                                              ,Sinclair                      ,"6330 E 21ST ST N, Wichita, KS",$2.979
KWIK SHOP #748 (DISCOUNT AVAILABLE)                         ,Kwik Shop                     ,"2809 E DOUGLAS AVE, Wichita, KS",$2.979
HILLSIDE VALERO                                             ,Valero                        ,"248 S HILLSIDE ST, Wichita                                 , KS",
EVANS CORNER                                                ,Unbranded                     ,"2828 E 21ST ST N, Wichita, KS",
GOT GAS                                                     ,Unbranded                     ,"353 S ARMOUR ST, Wichita                                 , KS",
NOORI CONVENIENCE STORE                                     ,Unbranded                     ,"801 S OLIVER ST, Wichita                                 , KS",
HILLSIDE US GAS                                             ,Unbranded                     ,"2601 N HILLSIDE ST, Wichita                                 , KS",
QUIKTRIP #374                                               ,QuikTrip                      ,"8723 W 13TH ST N, Wichita, KS",$2.899
DILLONS #9016 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"8828 W 13TH ST N, Wichita                                 , KS",$2.899
DILLONS #9272 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"10304 W 13TH ST N, Wichita, KS",$2.899
QUIKTRIP #358                                               ,QuikTrip                      ,"7120 W 21ST ST N, Wichita, KS",$2.899
DILLONS #9049 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"10222 W 21ST ST N, Wichita, KS",$2.899
QUIKTRIP #321                                               ,QuikTrip                      ,"6011 W CENTRAL AVE, Wichita, KS",$2.919
QUIKTRIP #343                                               ,QuikTrip                      ,"242 S TYLER RD, Wichita, KS",$2.949
DILLONS #9072 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"615 NORTH MAIZE, Wichita                                 , KS",$2.949
CIRCLE K #1633                                              ,Circle K                      ,"1254 S TYLER RD, Wichita, KS",$2.949
CASEYS GENERAL STORE #2965 (DISCOUNT AVAILABLE)             ,Caseys                        ,"11931 W CENTRAL AVE, Wichita, KS",$2.949
KWIK SHOP #0792 (DISCOUNT AVAILABLE)                        ,Kwik Shop                     ,"277 S RIDGE RD, Wichita, KS",$2.979
PE STATION                                                  ,Unbranded                     ,"731 N RIDGE RD, Wichita                                 , KS",
JUMP START                                                  ,Jump Start                    ,"7115 W 13TH ST N, Wichita, KS",
WESTLINK                                                    ,Unbranded                     ,"9518 W CENTRAL AVE, Wichita, KS",
SAMS CLUB #8254                                             ,Sams Club                     ,"6200 W KELLOGG DR, Wichita, KS",
KWIK SHOP #0797                                             ,Kwik Shop                     ,"656 S WEST ST, Wichita, KS",$2.919
