SHELL                                                       ,Shell                         ,"2201 N MANNHEIM RD, Melrose Park, IL",$3.499
CLARK                                                       ,Clark                         ,"545 MANNHEIM RD, Bellwood                                , IL",$3.499
GULF                                                        ,Gulf                          ,"1209 S 1ST AVE, Maywood                                 , IL",$3.499
ELMWOOD PARK BP                                             ,BP                            ,"7600 W NORTH AVE, Elmwood Park                            , IL",$3.499
ST GEORGE MOBIL                                             ,Mobil                         ,"2 E LAKE ST, Melrose Park, IL",$3.499
BP                                                          ,BP                            ,"5 W NORTH AVE, Melrose Park, IL",$3.499
Shell,Shell                         ,"600 EASTERN AVE, Bellwood                                , IL",$3.529
CIRCLE K #6741                                              ,Circle K                      ,"9601 GRAND AVE, Franklin Park, IL",$3.539
7-ELEVEN #38541                                             ,7-Eleven                      ,"2418 W NORTH AVE, Melrose Park, IL",$3.559
AMOCO                                                       ,Amoco                         ,"1700 N MANNHEIM RD, Stone Park, IL",$3.559
MOBIL                                                       ,Mobil                         ,"1800 N MANNHEIM RD, Stone Park                              , IL",$3.559
THORNTONS #327                                              ,Thorntons                     ,"1125 S 25TH AVE, Bellwood, IL",$3.559
G AND E PETRO                                               ,Mobil                         ,"9500 GRAND AVE, Franklin Park, IL",$3.559
SHELL SERVICE STATION                                       ,Shell                         ,"3216 W NORTH AVE, Stone Park                              , IL",$3.699
SHELL                                                       ,Shell                         ,"1701 HARRISON ST, Maywood, IL",$3.699
CITGO                                                       ,CITGO                         ,"1503 BROADWAY ST, Melrose Park                            , IL",$3.799
HILLSIDE CITGO                                              ,CITGO                         ,"440 N MANNHEIM RD, Hillside, IL",$3.799
THORNTONS #7                                                ,Thorntons                     ,"2640 MANNHEIM RD, Franklin Park, IL",$3.289
VP FUELS                                                    ,Unbranded                     ,"4401 SAINT CHARLES RD, Bellwood                                , IL",
BP                                                          ,BP                            ,"2751 W PETERSON AVE, Chicago                                 , IL",$3.399
Arco #540340,ARCO                          ,"2758 W PETERSON AVE, Chicago                                 , IL",$3.399
PATIO GAS,Marathon                      ,"6262 N CLARK ST, Chicago                                 , IL",$3.499
CITGO,CITGO                         ,"4603 N PULASKI RD, Chicago                                 , IL",$3.539
NATIONAL CAR WASH  ,Unbranded                     ,"4900 N BROADWAY ST, Chicago                                 , IL",$3.549
BP #1031800,BP                            ,"4359 N PULASKI RD, Chicago, IL",$3.579
GURNAM MART                                                 ,Mobil                         ,"2500 W PETERSON AVE, Chicago                                 , IL",$3.599
7-ELEVEN #32930                                             ,7-Eleven                      ,"6801 N WESTERN AVE, Chicago, IL",$3.599
MONTROSE BP                                                 ,BP                            ,"3201 W MONTROSE AVE, Chicago, IL",$3.599
DEVON CITGO,CITGO                         ,"1500 W DEVON AVE, Chicago                                 , IL",$3.599
L AND K MOBIL,Mobil                         ,"6777 N LINCOLN AVE, Lincolnwood                             , IL",$3.599
LAWRENCE ASHLAND SHELL                                      ,Shell                         ,"4800 N ASHLAND AVE, Chicago                                 , IL",$3.599
7-ELEVEN #38861                                             ,7-Eleven                      ,"1532 W LAWRENCE AVE, Chicago, IL",$3.599
SKOKIE BP                                                   ,BP                            ,"3750 TOUHY AVE, Skokie                                  , IL",$3.599
CLASRK STREET STATION                                       ,Mobil                         ,"7201 N CLARK ST, Chicago                                 , IL",$3.599
EVANSTON GAS                                                ,Shell                         ,"101 RIDGE AVE, Evanston, IL",$3.599
BP                                                          ,BP                            ,"5156 N BROADWAY ST, Chicago                                 , IL",$3.639
R AND S PETROLEUM                                           ,Mobil                         ,"5300 N WESTERN AVE, Chicago, IL",$3.659
PETERSON CITGO                                              ,CITGO                         ,"1850 W PETERSON AVE, Chicago                                 , IL",$3.659
WESTERN PARK BP                                             ,BP                            ,"3955 N WESTERN AVE, Chicago, IL",$3.659
SHELL,Shell                         ,"6000 N WESTERN AVE, Chicago                                 , IL",$3.699
 SHELL,Shell                         ,"5201 N WESTERN AVE, Chicago                                 , IL",$3.699
BP                                                          ,BP                            ,"4000 W PETERSON AVE, Chicago                                 , IL",$3.699
Shell,Shell                         ,"6401 N RIDGE BLVD, Chicago                                 , IL",$3.699
BP                                                          ,BP                            ,"1841 W DEVON AVE, Chicago, IL",$3.699
LINCOLNWOOD BP                                              ,BP                            ,"6599 N LINCOLN AVE, Lincolnwood                             , IL",$3.699
SHELL,Shell                         ,"6346 N CLARK ST, Chicago                                 , IL",$3.699
DAMEN AVENUE MOBIL,Mobil                         ,"4638 N DAMEN AVE, Chicago                                 , IL",$3.699
