CHEVRON                                                     ,Chevron                       ,"6701 6TH AVE, Tacoma                                  , WA",$4.099
MOBIL                                                       ,Mobil                         ,"5320 6TH ST WEST, University Place                        , WA",$4.099
UNION 76                                                    ,76                            ,"6622 19TH ST W, Tacoma, WA",$4.199
CHEVRON,Chevron                       ,"4814 CENTER ST, Tacoma                                  , WA",$4.199
FRED MEYER FUEL CENTER (DISCOUNT AVAILABLE)                 ,Fred Meyer                    ,"4402 BRIDGEPORT WAY W, Tacoma, WA",
FRED MEYER FUEL CENTER #9111 (DISCOUNT AVAILABLE)           ,Fred Meyer                    ,"33702 21ST AVE SW, Federal Way, WA",$3.559
QFC #9831 (DISCOUNT AVAILABLE)                              ,QFC                           ,"4101 49TH AVE NE, Tacoma                                  , WA",$3.609
TAHOMA EXPRESS                                              ,76                            ,"208 NORPOINT WAY NE, Tacoma, WA",$3.609
MARATHON                                                    ,Marathon                      ,"2100 SW 356TH ST, Federal Way, WA",$3.609
SHELL                                                       ,Shell                         ,"2125 SW 356TH ST, Federal Way, WA",$3.749
HUNGRY BEAR MARKET,Brown Bear                    ,"34007 HOYT RD SW, Federal Way                             , WA",$3.999
CHEVRON,Chevron                       ,"4612 SW 320TH ST, Federal Way                             , WA",$3.999
COSTCO #0095                                                ,Costco                        ,"2219 S 37TH ST, Tacoma                                  , WA",$3.549
APP S TACOMA WAY,Unbranded                     ,"3224 S TACOMA WAY, Tacoma                                  , WA",$3.599
UNION 76                                                    ,76                            ,"5522 MCKINLEY AVE, Tacoma, WA",$3.699
FRED MEYER FUEL CENTER #9385 (DISCOUNT AVAILABLE)           ,Fred Meyer                    ,"7250 PACIFIC AVE, Tacoma, WA",$3.699
ARCO                                                        ,ARCO                          ,"8247 PACIFIC AVE, Tacoma, WA",$3.699
SAFEWAY #1594                                               ,Safeway                       ,"707 S 56TH ST, Tacoma, WA",$3.719
UNION 76                                                    ,76                            ,"8801 PACIFIC AVENUE, Tacoma, WA",$3.749
MY GOODS MARKET #3430                                       ,My Goods Market               ,"7201 GOLDEN GIVEN RD E, Tacoma, WA",$3.799
CHEVRON #381157                                             ,Chevron                       ,"8424 PACIFIC AVE, Tacoma, WA",$3.859
7-ELEVEN #32307                                             ,7-Eleven                      ,"4701 S OAKES ST, Tacoma, WA",$3.899
PACIFIC GROCERY AND DELI                                    ,Shell                         ,"6329 PACIFIC AVE, Tacoma, WA",$3.899
ARCO                                                        ,ARCO                          ,"3601 CENTER ST, Tacoma, WA",$3.899
ARCO                                                        ,ARCO                          ,"5433 S ORCHARD ST, University Place, WA",$3.899
CIRCLE K                                                    ,Circle K                      ,"4704 S OAKES ST, Tacoma, WA",$3.919
JACKSONS FOOD STORE #644                                    ,Jacksons Food Stores          ,"5407 TACOMA MALL BLVD, Tacoma                                  , WA",$3.959
JACKSONS FOOD STORE #641                                    ,Jacksons Food Stores          ,"3740 PACIFIC AVE, Tacoma                                  , WA",$3.979
7-ELEVEN #32308                                             ,7-Eleven                      ,"1901 S TRAFTON ST, Tacoma, WA",$3.979
7-Eleven #38699,7-Eleven                      ,"2631 S 38TH ST, Tacoma                                  , WA",$3.999
CHEVRON                                                     ,Chevron                       ,"3305 S 56TH ST, Tacoma                                  , WA",$3.999
7-ELEVEN #38701                                             ,7-Eleven                      ,"8306 TACOMA MALL BLVD, Lakewood, WA",$3.999
SHELL FOOD MART                                             ,Shell                         ,"8433 S HOSMER ST, Tacoma, WA",$3.999
SHELL                                                       ,Shell                         ,"1901 MARTIN LUTHER KING JR WAY, Tacoma, WA",$3.999
HUNGRY BEAR MARKET,Brown Bear                    ,"3002 S 38TH ST, Tacoma, WA",$4.049
CHEVRON                                                     ,Chevron                       ,"1772 S 72ND ST, Tacoma                                  , WA",$4.099
CHEVRON                                                     ,Chevron                       ,"805 E 72ND ST, Tacoma                                  , WA",$4.099
CHEVRON                                                     ,Chevron                       ,"7404 S TACOMA WAY, Tacoma                                  , WA",$4.099
UNION 76                                                    ,76                            ,"8235 S HOSMER ST, Tacoma                                  , WA",$4.099
CHEVRON                                                     ,Chevron                       ,"2501 PACIFIC AVE, Tacoma, WA",$4.099
VERMA FIRCREST SHELL                                        ,Shell                         ,"4211 CENTER ST, Tacoma, WA",$4.099
SAFEWAY #1437                                               ,Safeway                       ,"1402 S 38TH ST, Tacoma, WA",$3.699
APEX GROCERY                                                ,Valero                        ,"1730 S 72ND ST, Tacoma, WA",$3.799
VP RACING FUELS                                             ,VP Racing Fuels               ,"1101 S 19TH ST, Tacoma                                  , WA",
PILOT EXPRESS #1173                                         ,Pilot                         ,"1440 PUYALLUP AVE, Tacoma, WA",$3.599
TAHOMA EXPRESS - PIONEER WAY                                ,76                            ,"2502 PIONEER WAY, Tacoma, WA",$3.609
UNION 76                                                    ,76                            ,"2802 E PORTLAND AVE, Tacoma, WA",$3.609
TAHOMA EXPRESS                                              ,76                            ,"3408 PACIFIC HWY E, Tacoma, WA",$3.609
UNION 76                                                    ,76                            ,"5522 MCKINLEY AVE, Tacoma, WA",$3.699
SAFEWAY #1436                                               ,Safeway                       ,"7201 PORTLAND AVE E, Tacoma, WA",$3.699
FRED MEYER FUEL CENTER #9385 (DISCOUNT AVAILABLE)           ,Fred Meyer                    ,"7250 PACIFIC AVE, Tacoma, WA",$3.699
76                                                          ,76                            ,"1302 PUYALLUP AVE, Tacoma, WA",$3.699
ARCO                                                        ,ARCO                          ,"8247 PACIFIC AVE, Tacoma, WA",$3.699
SAFEWAY #1594                                               ,Safeway                       ,"707 S 56TH ST, Tacoma, WA",$3.719
7-ELEVEN #38722                                             ,7-Eleven                      ,"3309 PACIFIC AVE, Tacoma, WA",$3.759
MY GOODS MARKET #3430                                       ,My Goods Market               ,"7201 GOLDEN GIVEN RD E, Tacoma, WA",$3.799
JACKSONS FOOD STORE #640                                    ,Jacksons Food Stores          ,"3251 PACIFIC HWY 99, Tacoma, WA",$3.799
PACIFIC GROCERY AND DELI                                    ,Shell                         ,"6329 PACIFIC AVE, Tacoma, WA",$3.899
JACKSONS FOOD STORE #641                                    ,Jacksons Food Stores          ,"3740 PACIFIC AVE, Tacoma                                  , WA",$3.979
ASSOCIATED PETROLEUM PRODUCTS                               ,Pac Pride                     ,"2115 E RIVER ST, Tacoma                                  , WA",$4.089
CHEVRON                                                     ,Chevron                       ,"805 E 72ND ST, Tacoma                                  , WA",$4.099
CHEVRON                                                     ,Chevron                       ,"2501 PACIFIC AVE, Tacoma, WA",$4.099
SAFEWAY #1437                                               ,Safeway                       ,"1402 S 38TH ST, Tacoma, WA",$3.699
SHELL                                                       ,Shell                         ,"103 PIONEER WAY, Tacoma                                  , WA",
